Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Multi-Month Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs,Total Multi-Month Gifted subs,Multi-Month Gifted Tier 1 subs,Multi-Month Gifted Tier 2 subs,Multi-Month Gifted Tier 3 subs
Wed Apr 06 2022,0,0,3.69,205,8,0,0,2,0,36,7,457,124,28,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0
Thu Apr 07 2022,0,0,0,97,2,0,0,1,0,0,0,0,0,0,1.425,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Fri Apr 08 2022,0,0,0,95,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Apr 09 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Apr 10 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 11 2022,0,0,0,97,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 12 2022,0,0,0,97,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Apr 13 2022,0,0,4.53,261,11,0,1,5,0,48,10,598,132,35,0,0,0,0,1,0.0105,0,0,0,0,0,0,0,0,0,0,0,0
Thu Apr 14 2022,0,0,1.67,152,4,0,0,0,0,27,4,209,124,22,0,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0,0,0,0,0
Fri Apr 15 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Apr 16 2022,0,0,0,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Apr 17 2022,0,0,0,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 18 2022,0,0,4.11,149,9,0,0,0,0,47,9,505,122,36,0,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 19 2022,0,0,0,96,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Apr 20 2022,0,0,1.84,191,9,0,1,2,0,49,5,230,125,21,0,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0,0,0,0,0
Thu Apr 21 2022,0,0,0,96,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Apr 22 2022,0,0,3.48,363,12,0,0,3,0.07,105,10,1508,432,76,1.6,0,0,0,0,0.063,0,0,0,0,1,1,0,0,0,0,0,0
Sat Apr 23 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Apr 24 2022,0,0,0,96,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 25 2022,0,0,3.01,156,7,0,0,2,0,46,7,367,120,34,0,0,0,0,0,0.0175,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 26 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Apr 27 2022,0,0,2.38,252,6,0,1,1,0,29,8,302,125,26,0,0,0,0,0,0.0245,0,0,0,0,0,0,0,0,0,0,0,0
Thu Apr 28 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Apr 29 2022,0,0,0,97,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Apr 30 2022,0,0,0,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 01 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 02 2022,0,0,2.82,184,5,0,0,1,0,35,6,361,126,30,0,0,0,0,0,0.0175,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 03 2022,0,0,0,97,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0,0,0,0,0
Wed May 04 2022,0,0,4.83,250,10,0,0,2,0,50,10,623,130,39,0,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0,0
Thu May 05 2022,0,0,0,91,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri May 06 2022,0,0,0,96,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
