Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Multi-Month Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs,Gifted Tier 2 subs,Gifted Tier 3 subs,Total Multi-Month Gifted subs,Multi-Month Gifted Tier 1 subs,Multi-Month Gifted Tier 2 subs,Multi-Month Gifted Tier 3 subs
Mon Jan 17 2022,0,0,1.6,11,3,0,0,2,0,20,5,131,83,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 18 2022,0,0,1.56,7,1,0,0,1,0,22,4,159,100,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 19 2022,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 20 2022,0,0,0.9,34,4,0,0,1,0,50,5,256,284,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 21 2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jan 22 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 23 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 24 2022,0,0,2.41,39,5,0,0,2,0,26,5,267,111,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 25 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 26 2022,0,0,2.25,4,2,0,0,1,0,17,4,155,69,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jan 27 2022,0,0,1.61,33,1,0,0,1,0,15,4,180,113,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jan 28 2022,0,0,2.09,46,6,0,0,3,0,21,5,395,189,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jan 29 2022,0,0,2.45,58,4,0,0,1,0,32,4,333,135,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 30 2022,0,0,3.53,47,7,0,0,4,0,62,9,452,127,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 31 2022,0,0,5.01,43,9,0,0,2,0,65,10,731,145,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 01 2022,0,0,4.98,75,8,0,0,1,0,26,10,319,63,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 02 2022,0,0,0,23,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Feb 03 2022,0,0,2.35,52,5,0,0,2,0,41,6,308,130,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 04 2022,0,0,3.61,159,11,0,0,5,0,63,8,983,273,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Feb 05 2022,0,0,3.05,19,2,0,0,0,0,8,6,119,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
