Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Multi-Month Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs,Total Multi-Month Gifted subs,Multi-Month Gifted Tier 1 subs,Multi-Month Gifted Tier 2 subs,Multi-Month Gifted Tier 3 subs
Sat May 07 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 08 2022,0,0,0,96,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 09 2022,0,0,4.94,252,12,0,0,4,0,75,10,627,127,50,0,5.025,1.49,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0
Tue May 10 2022,0,0,0,91,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed May 11 2022,0,0,5.87,341,10,0,1,0,0,48,9,734,125,41,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0
Thu May 12 2022,0,0,0,95,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri May 13 2022,0,0,2.46,314,10,0,0,4,0,41,5,335,135,28,0,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0,0
Sat May 14 2022,0,0,0,96,1,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 15 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 16 2022,0,0,2.66,219,9,0,1,1,0,41,6,340,127,35,0,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 17 2022,0,0,0,97,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0,0,0,0,0
Wed May 18 2022,0,0,4.61,264,9,0,0,1,0,37,9,549,118,28,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0
Thu May 19 2022,0,0,0,92,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri May 20 2022,0,0,0,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0,0
Sat May 21 2022,0,0,0,93,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 22 2022,0,0,0,97,2,0,0,1,0,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Mon May 23 2022,0,0,2.95,200,7,0,0,3,0,37,8,377,127,30,0,1.675,0,0,0,0.006999999999999999,0,0,0,1,0,0,0,0,0,0,0,0
Tue May 24 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed May 25 2022,0,0,1.41,270,5,0,2,0,0,38,3,206,147,30,0,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0,0
Thu May 26 2022,0,0,0,100,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri May 27 2022,0,0,0,97,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat May 28 2022,0,0,0,98,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 29 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 30 2022,0,0,6.91,401,13,0,0,5,0,64,11,857,124,54,0,0,0,0,0,0.0245,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 31 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 01 2022,0,0,7.86,350,12,0,0,4,0,92,15,1037,131,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 02 2022,0,0,0,101,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 03 2022,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
