Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Multi-Month Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs,Total Multi-Month Gifted subs,Multi-Month Gifted Tier 1 subs,Multi-Month Gifted Tier 2 subs,Multi-Month Gifted Tier 3 subs
Fri Feb 18 2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Feb 19 2022,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Feb 20 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 21 2022,0,0,2.81,121,7,0,0,3,0,26,5,315,112,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 22 2022,0,0,2.87,53,7,0,0,0,0,52,9,333,117,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 23 2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Feb 24 2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 25 2022,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Feb 26 2022,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Feb 27 2022,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 28 2022,1.5,39.13,5.16,125,18,0,0,12,17.28,89,26,712,138,66,0,0,2.94,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Tue Mar 01 2022,1,28.13,2.13,47,10,0,0,1,0.73,33,9,273,128,23,1.66,0,0,0,0,0.0034999999999999996,0,0,0,0,1,1,0,0,0,0,0,0
Wed Mar 02 2022,0,0,0,0,0,1,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Mar 03 2022,0,0,0,94,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Mar 04 2022,0,0,0,96,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Mar 05 2022,0,0,0,96,1,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Mar 06 2022,0,0,0,95,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 07 2022,1,29.03,4.1,177,11,0,0,8,0,64,11,508,124,29,1.42,0,0,0,0,0.035,0,0,0,0,1,1,0,0,0,0,0,0
Tue Mar 08 2022,1,28.13,4.15,185,11,0,0,6,0,58,10,535,128,35,0,1.645,1.705,0,0,0.0385,0,0,0,1,0,0,1,1,0,0,0,0
Wed Mar 09 2022,2,37.7,2.69,188,9,0,0,7,0,84,10,511,191,51,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0
Thu Mar 10 2022,1.5,33.54,2.24,235,4,0,0,4,0,27,6,361,161,17,0,0,0,0,0,0.0455,0,0,0,0,0,0,0,0,0,0,0,0
Fri Mar 11 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Mar 12 2022,0,0,0,96,1,0,0,3,0,2,0,0,0,2,0,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0,0,0,0,0
Sun Mar 13 2022,0,0,0,96,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 14 2022,0,0,2.76,155,9,0,1,3,0,37,7,328,118,20,0,1.645,0,0,0,0.013999999999999999,0,0,0,1,0,0,0,0,0,0,0,0
Tue Mar 15 2022,0,0,2.57,189,8,0,0,1,0,35,7,308,119,20,0,0,0,0,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0
Wed Mar 16 2022,0,0,0,95,3,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Mar 17 2022,0,0,0,97,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Mar 18 2022,0,0,0,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
