Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Multi-Month Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs,Total Multi-Month Gifted subs,Multi-Month Gifted Tier 1 subs,Multi-Month Gifted Tier 2 subs,Multi-Month Gifted Tier 3 subs
Sat Mar 19 2022,0,0,0.8,169,4,0,0,7,0,53,3,187,234,40,0,0,0,0,0,0.049,0,0,0,0,0,0,0,0,0,0,0,0
Sun Mar 20 2022,0,0,0,101,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 21 2022,0,0,0.46,104,3,0,0,1,0,31,2,58,125,22,0,0,0,0,0,0.0175,0,0,0,0,0,0,0,0,0,0,0,0
Tue Mar 22 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0,0,0,0,0
Wed Mar 23 2022,0,0,1.01,155,6,0,2,0,0,27,5,127,126,21,0,0,0,0,0,0.0385,0,0,0,0,0,0,0,0,0,0,0,0
Thu Mar 24 2022,0,0,0,95,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Mar 25 2022,0,0,0,100,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Mar 26 2022,0,0,0,96,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Mar 27 2022,0,0,0,92,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Mar 28 2022,0,0,0.8,108,4,0,0,0,0,25,4,84,105,17,0,0,0,0,0,0.027999999999999997,0,0,0,0,0,0,0,0,0,0,0,0
Tue Mar 29 2022,0,0,0,74,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Mar 30 2022,0,0,1.1,134,5,0,0,3,0,23,5,140,127,16,0,0,0,0,0,0.0105,0,0,0,0,0,0,0,0,0,0,0,0
Thu Mar 31 2022,0,0,0,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0,0,0,0,0
Fri Apr 01 2022,0,0,0,97,2,0,0,1,0,1,0,0,0,1,1.55,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Sat Apr 02 2022,0,0,5.89,553,28,0,0,13,0,238,16,3391,575,139,0,1.675,0,0,0,0.1295,0,0,0,1,0,0,0,0,0,0,0,0
Sun Apr 03 2022,0,0,0.63,98,1,0,0,0,0,5,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Apr 04 2022,0,0,1.18,135,3,0,1,3,0,16,3,136,114,11,0,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0,0,0,0,0
Tue Apr 05 2022,0,0,0,97,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
